"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Mascot: Mascot"	"# Peptides (by Search Engine): Mascot"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Gene ID"	"Ensembl Gene ID"	"Gene Symbol"	"WikiPathways"	"Reactome Pathways"	"# Protein Pathway Groups"	"Abundance Ratio: (head) / (body)"	"Abundance Ratio: (mucus) / (body)"	"Abundance Ratio: (pharynx) / (body)"	"Abundance Ratio: (mucus) / (head)"	"Abundance Ratio: (pharynx) / (head)"	"Abundance Ratio: (pharynx) / (mucus)"	"Abundance Ratio Adj. P-Value: (head) / (body)"	"Abundance Ratio Adj. P-Value: (mucus) / (body)"	"Abundance Ratio Adj. P-Value: (pharynx) / (body)"	"Abundance Ratio Adj. P-Value: (mucus) / (head)"	"Abundance Ratio Adj. P-Value: (pharynx) / (head)"	"Abundance Ratio Adj. P-Value: (pharynx) / (mucus)"	"Abundances (Grouped): body"	"Abundances (Grouped): head"	"Abundances (Grouped): mucus"	"Abundances (Grouped): pharynx"	"Abundances (Grouped) CV [%]: body"	"Abundances (Grouped) CV [%]: head"	"Abundances (Grouped) CV [%]: mucus"	"Abundances (Grouped) CV [%]: pharynx"	"Found in Sample: [S2] F2: Sample, 2, body"	"Found in Sample: [S6] F6: Sample, 6, body"	"Found in Sample: [S10] F10: Sample, 10, body"	"Found in Sample: [S1] F1: Sample, 1, head"	"Found in Sample: [S5] F5: Sample, 5, head"	"Found in Sample: [S9] F9: Sample, 9, head"	"Found in Sample: [S4] F4: Sample, 4, mucus"	"Found in Sample: [S8] F8: Sample, 8, mucus"	"Found in Sample: [S12] F12: Sample, 12, mucus"	"Found in Sample: [S3] F3: Sample, 3, pharynx"	"Found in Sample: [S7] F7: Sample, 7, pharynx"	"Found in Sample: [S11] F11: Sample, 11, pharynx"	"# Protein Groups"	"Modifications"
"8845907330097865707"	"False"	"High"	"IsMasterProtein"	"SMED3_DN95_c0_g1_i11.p1"	"SMED3_DN95_c0_g1_i11.p1"	"0.000"	"250.978"	"62"	"32"	"512"	"29"	"657"	"73.8"	"5.07"	"6076"	"32"	""	""	""	""	""	"SMED3_DN95_c0_g1_i11.p1"	""	""	""	""	"0"	"4.718"	"98.510"	"2.718"	"20.879"	"0.576"	"0.028"	"0.999999960808529"	"0.00798582197251242"	"0.999999999971976"	"0.0270545631071522"	"0.999999999979186"	"0.0175448302802288"	"15589456.3333333"	"73552907.6888678"	"1535724509.51285"	"42368509.6863062"	"42.52"	"78.00"	"40.92"	"47.38"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-2200524447901538668"	"False"	"High"	"IsMasterProtein"	"SMED3_DN2354_c1_g1_i4.p1"	"SMED3_DN2354_c1_g1_i4.p1"	"0.000"	"250.494"	"45"	"47"	"566"	"46"	"1176"	"132.1"	"6.18"	"7072"	"47"	""	""	""	""	""	"SMED3_DN2354_c1_g1_i4.p1"	""	""	""	""	"0"	"5.377"	"54.796"	"1.665"	"10.191"	"0.310"	"0.030"	"0.337055321001797"	"0.00277108225579998"	"0.999999999971976"	"0.0279380886613007"	"0.703670731535247"	"0.00476290118976415"	"17824899.6666667"	"95839010.3166205"	"976740880.623236"	"29686136.5104011"	"30.37"	"81.24"	"28.84"	"33.32"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-8595464796936815677"	"False"	"High"	"IsMasterProtein"	"SMED3_DN2866_c0_g2_i1.p1"	"SMED3_DN2866_c0_g2_i1.p1"	"0.000"	"248.249"	"56"	"28"	"700"	"12"	"647"	"71.1"	"5.64"	"9315"	"28"	""	""	""	""	""	"SMED3_DN2866_c0_g2_i1.p1"	""	""	""	""	"0"	"4.787"	"0.355"	"2.508"	"0.074"	"0.524"	"7.076"	"0.759325279375165"	"0.999999997659797"	"0.999999999971976"	"0.35047297726177"	"0.999999999979186"	"0.788332874537827"	"55933989.3547527"	"267783246.801376"	"19829188.7035792"	"140306098.159155"	"118.81"	"8.10"	"123.75"	"42.92"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-1440635313646132986"	"False"	"High"	"IsMasterProtein"	"SMED3_DN4965_c0_g1_i2.p1"	"SMED3_DN4965_c0_g1_i2.p1"	"0.000"	"237.033"	"55"	"28"	"759"	"12"	"650"	"71.2"	"5.59"	"10310"	"28"	""	""	""	""	""	"SMED3_DN4965_c0_g1_i2.p1"	""	""	""	""	"0"	"5.299"	"1.894"	"2.026"	"0.358"	"0.382"	"1.070"	"0.421407935597664"	"0.933308308855221"	"0.999999999971976"	"0.51559570365565"	"0.999999999979186"	"0.999999999609416"	"49178206.436807"	"260576130.941487"	"93161992.3556733"	"99657801.658956"	"94.19"	"15.12"	"17.83"	"37.14"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"-7272943495571200563"	"False"	"High"	"IsMasterProtein"	"SMED3_DN555_c0_g1_i24.p1"	"SMED3_DN555_c0_g1_i24.p1"	"0.000"	"232.981"	"67"	"23"	"655"	"4"	"444"	"49.7"	"4.89"	"7003"	"23"	""	""	""	""	""	"SMED3_DN555_c0_g1_i24.p1"	""	""	""	""	"0"	"1.931"	"0.859"	"2.208"	"0.445"	"1.144"	"2.571"	"0.999999960808529"	""	"0.999999999971976"	""	"0.999999999979186"	""	"45138787.8068943"	"87152702.6114041"	"38779432.8319307"	"99684712.9625695"	"111.86"	"40.31"	""	"40.82"	"High"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"High"	"Not Found"	"High"	"High"	"High"	"1"	""
"-3688360979631588805"	"False"	"High"	"IsMasterProtein"	"SMED3_DN2346_c2_g1_i2.p1"	"SMED3_DN2346_c2_g1_i2.p1"	"0.000"	"232.164"	"70"	"17"	"1430"	"6"	"340"	"37.6"	"5.47"	"16939"	"17"	""	""	""	""	""	"SMED3_DN2346_c2_g1_i2.p1"	""	""	""	""	"0"	"2.561"	"0.165"	"2.258"	"0.065"	"0.882"	"13.645"	"0.999999960808529"	"0.565674749572764"	"0.999999999971976"	"0.19504530215614"	"0.999999999979186"	"0.276100547742507"	"503115636.784281"	"1288258204.91796"	"83239841.6978979"	"1135835585.16163"	"96.67"	"27.51"	"133.05"	"43.06"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"-5739005929423133782"	"False"	"High"	"IsMasterProtein"	"SMED3_DN2967_c0_g1_i1.p1"	"SMED3_DN2967_c0_g1_i1.p1"	"0.000"	"227.217"	"28"	"52"	"359"	"52"	"2510"	"273.6"	"5.62"	"3523"	"52"	""	""	""	""	""	"SMED3_DN2967_c0_g1_i1.p1"	""	""	""	""	"0"	"3.730"	"5.384"	"3.454"	"1.443"	"0.926"	"0.641"	"0.883905838692876"	"0.101589902311893"	"0.999999999971976"	"0.479997587148985"	"0.999999999979186"	"0.999999999609416"	"4623426.63574019"	"17247655.8095508"	"24890628.2995388"	"15967292.5416294"	"69.04"	"62.79"	"61.11"	"29.84"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"64152541855778876"	"False"	"High"	"IsMasterProtein"	"SMED3_DN5155_c0_g1_i1.p1"	"SMED3_DN5155_c0_g1_i1.p1"	"0.000"	"225.444"	"66"	"30"	"585"	"28"	"575"	"61.7"	"6.11"	"7887"	"30"	""	""	""	""	""	"SMED3_DN5155_c0_g1_i1.p1"	""	""	""	""	"0"	"3.165"	"0.056"	"1.530"	"0.018"	"0.483"	"27.268"	"0.999999960808529"	"0.455014886205174"	"0.999999999971976"	"0.13251225932173"	"0.999999999979186"	"0.301603900749058"	"140470277.157537"	"444632205.43969"	"7881699.68552442"	"214915861.867469"	"81.85"	"0.73"	"157.29"	"22.42"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-7499867853208201769"	"False"	"High"	"IsMasterProtein"	"SMED3_DN1000_c2_g1_i1.p1"	"SMED3_DN1000_c2_g1_i1.p1"	"0.000"	"221.834"	"69"	"19"	"1145"	"5"	"375"	"41.7"	"5.48"	"12857"	"19"	""	""	""	""	""	"SMED3_DN1000_c2_g1_i1.p1"	""	""	""	""	"0"	"2.852"	"0.072"	"2.514"	"0.025"	"0.881"	"34.835"	"0.999999960808529"	"0.460532628871385"	"0.999999999971976"	"0.169221199690438"	"0.999999999979186"	"0.272837953047011"	"35343684.3093436"	"100809750.076789"	"2550815.11494473"	"88858178.2918101"	"106.70"	"40.85"	"150.82"	"37.36"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"-3973589334991488607"	"False"	"High"	"IsMasterProtein"	"CON_P04264"	"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6"	"0.000"	"217.325"	"59"	"33"	"655"	"27"	"644"	"66.0"	"8.12"	"8864"	"33"	"cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;other biological processes"	"non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;other cell component"	"bone, tooth or skin structural activity;other molecular function"	"Pf00038, Pf16208, Pf16210"	"3848"	"B2RA01; CON_P04264; hsa:3848; P04264; P85925; P86104; Q14720; Q6GSJ0; Q9H298"	"ENSG00000167768"	"KRT1"	"Corticotropin-releasing hormone signaling pathway; IL-24 Signaling pathway"	"Formation of the cornified envelope; Neutrophil degranulation"	"5"	"0.553"	"3.225"	"0.428"	"5.834"	"0.774"	"0.133"	"0.999999960808529"	"0.163355456049201"	"0.999999999971976"	"0.074134161983516"	"0.999999999979186"	"0.0491752495483362"	"249013786.666667"	"137652810.177287"	"803053764.571297"	"106515748.422613"	"14.83"	"49.58"	"112.16"	"32.76"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-6605193621902288169"	"False"	"High"	"IsMasterProtein"	"CON_P35908"	"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2"	"0.000"	"217.282"	"67"	"37"	"532"	"29"	"639"	"65.4"	"8.00"	"7373"	"37"	"cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;other biological processes"	"plasma membrane;cytosol;cytoskeleton;other cell component"	"bone, tooth or skin structural activity;cytoskeletal activity"	"Pf00038, Pf16208"	"3849"	"CON_P35908; hsa:3849; P35908; Q4VAQ2"	"ENSG00000172867"	"KRT2"	""	"Formation of the cornified envelope"	"2"	"0.952"	"7.785"	"0.485"	"8.179"	"0.510"	"0.062"	"0.999999960808529"	"0.0277791013220975"	"0.999999999971976"	"0.0409253252787522"	"0.999999999979186"	"0.0106854198245924"	"70283583.9508716"	"66901481.7593858"	"547184805.171197"	"34116956.1358734"	"42.37"	"16.95"	"73.52"	"51.03"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"7989790464056543145"	"False"	"High"	"IsMasterProtein"	"CON_P35527"	"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3"	"0.000"	"215.754"	"63"	"26"	"526"	"25"	"623"	"62.0"	"5.24"	"7070"	"26"	"cell organization and biogenesis;other biological processes"	"cytosol;cytoskeleton"	"cytoskeletal activity;other molecular function"	"Pf00038"	"3857"	"A0A2J8KG96; A0A6D2VYW7; CON_P35527; H2QCZ6; hsa:3857; O00109; P35527; ptr:454664; Q0IJ47; Q14665"	"ENSG00000171403"	"KRT9"	""	"Formation of the cornified envelope"	"2"	"0.635"	"6.160"	"0.715"	"9.708"	"1.126"	"0.116"	"0.999999960808529"	"0.215608628246034"	"0.999999999971976"	"0.0840652461043691"	"0.999999999979186"	"0.0818467687088286"	"51004325.238201"	"32362580.1428806"	"314171854.389484"	"36446563.4151935"	"71.28"	"70.83"	"128.54"	"25.99"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"3629393343422070751"	"False"	"High"	"IsMasterProtein"	"SMED3_DN38749_c0_g1_i3.p1"	"SMED3_DN38749_c0_g1_i3.p1"	"0.000"	"215.210"	"29"	"52"	"231"	"52"	"2632"	"283.0"	"5.94"	"1863"	"52"	""	""	""	""	""	"SMED3_DN38749_c0_g1_i3.p1"	""	""	""	""	"0"	"0.790"	"6.684"	"0.728"	"8.460"	"0.921"	"0.109"	"0.999999960808529"	"0.0254693313406319"	"0.999999999971976"	"0.0364196538241984"	"0.999999999979186"	"0.0179955798467599"	"36967577.2357971"	"29207304.317031"	"247108040.335225"	"26898918.2037367"	"53.44"	"64.71"	"33.10"	"29.47"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"3266152615150651394"	"False"	"High"	"IsMasterProtein"	"SMED3_DN5687_c0_g2_i2.p1"	"SMED3_DN5687_c0_g2_i2.p1"	"0.000"	"211.575"	"62"	"17"	"585"	"16"	"401"	"44.9"	"7.56"	"7460"	"17"	""	""	""	""	""	"SMED3_DN5687_c0_g2_i2.p1"	""	""	""	""	"0"	"0.162"	"0.061"	"2.392"	"0.376"	"14.774"	"39.305"	"0.92432580910986"	"0.318577411980339"	"0.999999999971976"	"0.959044927747492"	"0.969232284604917"	"0.156149793662392"	"1080113851.04155"	"174886398.610781"	"65737313.8845665"	"2583813298.86384"	"90.22"	"117.24"	"149.90"	"47.91"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-929230400196603868"	"False"	"High"	"IsMasterProtein"	"SMED3_DN335_c0_g2_i2.p1"	"SMED3_DN335_c0_g2_i2.p1"	"0.000"	"207.961"	"58"	"26"	"350"	"26"	"651"	"71.7"	"7.27"	"4981"	"26"	""	""	""	""	""	"SMED3_DN335_c0_g2_i2.p1"	""	""	""	""	"0"	"10.490"	"0.707"	"3.953"	"0.067"	"0.377"	"5.590"	"0.82396767579174"	"0.999999997659797"	"0.999999999971976"	"0.592550244514333"	"0.999999999979186"	"0.982039189592393"	"11766160.1076807"	"123428485.463921"	"8319639.40077991"	"46509312.807359"	"141.37"	"24.28"	"132.82"	"56.90"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"1"	""
"-5837368843252208620"	"False"	"High"	"IsMasterProtein"	"SMED3_DN1897_c0_g1_i1.p1"	"SMED3_DN1897_c0_g1_i1.p1"	"0.000"	"194.953"	"47"	"28"	"592"	"21"	"660"	"72.8"	"5.71"	"7587"	"28"	""	""	""	""	""	"SMED3_DN1897_c0_g1_i1.p1"	""	""	""	""	"0"	"3.875"	"0.377"	"1.249"	"0.097"	"0.322"	"3.312"	"0.152524652459345"	"0.344974699143149"	"0.999999999971976"	"0.0117870260038259"	"0.504557398696509"	"0.076704756148097"	"101913272.104056"	"394931082.72772"	"38423052.3153875"	"127254026.49895"	"38.86"	"24.07"	"45.83"	"2.89"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"5000401867705103861"	"False"	"High"	"IsMasterProtein"	"SMED3_DN1173_c1_g1_i3.p1"	"SMED3_DN1173_c1_g1_i3.p1"	"0.000"	"193.637"	"56"	"16"	"1078"	"3"	"376"	"41.7"	"5.48"	"11473"	"16"	""	""	""	""	""	"SMED3_DN1173_c1_g1_i3.p1"	""	""	""	""	"0"	"3.950"	"0.794"	"3.523"	"0.201"	"0.892"	"4.435"	"0.999999960808529"	""	"0.999999999971976"	""	"0.999999999979186"	""	"19461873.2925241"	"76869952.4590799"	"15459874.6410599"	"68567719.5129543"	"150.81"	"53.85"	""	"77.68"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"1"	""
"8871277742138051233"	"False"	"High"	"IsMasterProtein"	"SMED3_DN47233_c0_g2_i6.p1"	"SMED3_DN47233_c0_g2_i6.p1"	"0.000"	"187.921"	"75"	"21"	"577"	"21"	"362"	"39.8"	"8.35"	"8350"	"21"	""	""	""	""	""	"SMED3_DN47233_c0_g2_i6.p1"	""	""	""	""	"0"	"2.779"	"1.495"	"2.103"	"0.538"	"0.757"	"1.407"	"0.560457271703618"	"0.999999997659797"	"0.999999999971976"	"0.690607481254842"	"0.999999999979186"	"0.999999999609416"	"116387135.73714"	"323423914.499823"	"174012054.57133"	"244820009.565744"	"72.02"	"8.55"	"32.79"	"25.44"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-2890438833562658835"	"False"	"High"	"IsMasterProtein"	"SMED3_DN4255_c0_g1_i1.p1"	"SMED3_DN4255_c0_g1_i1.p1"	"0.000"	"187.638"	"71"	"21"	"616"	"21"	"363"	"39.1"	"7.87"	"8075"	"21"	""	""	""	""	""	"SMED3_DN4255_c0_g1_i1.p1"	""	""	""	""	"0"	"2.601"	"0.742"	"1.645"	"0.285"	"0.633"	"2.216"	"0.578857965006972"	"0.763582426769532"	"0.999999999971976"	"0.0774577666934771"	"0.999999999979186"	"0.216009413948882"	"345684675.395741"	"899033689.648376"	"256620798.470101"	"568760396.356933"	"68.63"	"25.17"	"25.18"	"38.17"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
