"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Mascot: Mascot"	"# Peptides (by Search Engine): Mascot"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Gene ID"	"Ensembl Gene ID"	"Gene Symbol"	"Reactome Pathways"	"WikiPathways"	"# Protein Pathway Groups"	"Abundance Ratio: (head) / (body)"	"Abundance Ratio: (mucus) / (body)"	"Abundance Ratio: (pharynx) / (body)"	"Abundance Ratio: (mucus) / (head)"	"Abundance Ratio: (pharynx) / (head)"	"Abundance Ratio: (pharynx) / (mucus)"	"Abundance Ratio Adj. P-Value: (head) / (body)"	"Abundance Ratio Adj. P-Value: (mucus) / (body)"	"Abundance Ratio Adj. P-Value: (pharynx) / (body)"	"Abundance Ratio Adj. P-Value: (mucus) / (head)"	"Abundance Ratio Adj. P-Value: (pharynx) / (head)"	"Abundance Ratio Adj. P-Value: (pharynx) / (mucus)"	"Abundances (Grouped): body"	"Abundances (Grouped): head"	"Abundances (Grouped): mucus"	"Abundances (Grouped): pharynx"	"Abundances (Grouped) CV [%]: body"	"Abundances (Grouped) CV [%]: head"	"Abundances (Grouped) CV [%]: mucus"	"Abundances (Grouped) CV [%]: pharynx"	"Found in Sample: [S2] F2: Sample, 2, body"	"Found in Sample: [S6] F6: Sample, 6, body"	"Found in Sample: [S10] F10: Sample, 10, body"	"Found in Sample: [S1] F1: Sample, 1, head"	"Found in Sample: [S5] F5: Sample, 5, head"	"Found in Sample: [S9] F9: Sample, 9, head"	"Found in Sample: [S4] F4: Sample, 4, mucus"	"Found in Sample: [S8] F8: Sample, 8, mucus"	"Found in Sample: [S12] F12: Sample, 12, mucus"	"Found in Sample: [S3] F3: Sample, 3, pharynx"	"Found in Sample: [S7] F7: Sample, 7, pharynx"	"Found in Sample: [S11] F11: Sample, 11, pharynx"	"# Protein Groups"	"Modifications"
"2268254977070345506"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN14090_c0_g1_i1.p1"	"ONUN2_DN14090_c0_g1_i1.p1"	"0.000"	"487.826"	"67"	"69"	"875"	"56"	"873"	"100.5"	"5.68"	"13540"	"69"	""	""	""	""	""	"ONUN2_DN14090_c0_g1_i1.p1"	""	""	""	""	"0"	"10.131"	"83.135"	"0.531"	"8.206"	"0.052"	"0.010"	""	""	""	"0.423058748116137"	""	""	"20222139.823842"	"204880389.374284"	"1681164820.45445"	"10739616.4101216"	""	"37.21"	"80.97"	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"1"	"Acetyl [N-Term]"
"8252115842701445676"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN4597_c0_g1_i3.p1"	"ONUN2_DN4597_c0_g1_i3.p1"	"0.000"	"487.188"	"51"	"69"	"806"	"69"	"1568"	"180.6"	"9.13"	"12433"	"69"	""	""	""	""	""	"ONUN2_DN4597_c0_g1_i3.p1"	""	""	""	""	"0"	"6.713"	"100.000"	"0.593"	"100.000"	"0.088"	"0.010"	"0.423751837216544"	"0.0420481583396672"	""	"0.104759415605875"	""	""	"1980827.43646294"	"13298166.0460794"	"1900358346.53976"	"1173661.09051887"	"95.95"	"137.30"	"39.19"	""	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"1"	""
"6317852507672064866"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN189_c0_g1_i12.p1"	"ONUN2_DN189_c0_g1_i12.p1"	"0.000"	"468.850"	"33"	"90"	"557"	"90"	"3603"	"409.0"	"7.65"	"6391"	"90"	""	""	""	""	""	"ONUN2_DN189_c0_g1_i12.p1"	""	""	""	""	"0"	"0.195"	"11.461"	"4.796"	"58.682"	"24.557"	"0.418"	"0.435597650210905"	"0.403112509622948"	"0.999999999999392"	"0.0478111105936949"	"0.227803773932309"	"0.999999999645348"	"27444213.2827789"	"5359940.38881623"	"314534044.342462"	"131623410.415234"	"26.06"	"89.64"	"95.99"	"69.17"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"1"	""
"-7477898872777263382"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN11_c0_g1_i1.p1"	"ONUN2_DN11_c0_g1_i1.p1"	"0.000"	"450.393"	"53"	"82"	"659"	"82"	"2030"	"230.7"	"8.29"	"7471"	"82"	""	""	""	""	""	"ONUN2_DN11_c0_g1_i1.p1"	""	""	""	""	"0"	"0.644"	"10.913"	"1.041"	"16.951"	"1.617"	"0.095"	"0.999999999853134"	"0.170346107890058"	"0.999999999999392"	"0.0799245763675572"	"0.999999999988872"	"0.186679254886458"	"28614505.3923259"	"18421379.5758746"	"312266955.112126"	"29796204.2793213"	"89.26"	"78.65"	"8.51"	"94.56"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-4939745782600126227"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN263_c5_g1_i2.p1"	"ONUN2_DN263_c5_g1_i2.p1"	"0.000"	"442.293"	"68"	"66"	"802"	"54"	"867"	"100.4"	"5.49"	"11767"	"66"	""	""	""	""	""	"ONUN2_DN263_c5_g1_i2.p1"	""	""	""	""	"0"	"100.000"	"100.000"	"9.725"	"5.112"	"0.092"	"0.018"	"0.145807454896997"	"0.0645106506166914"	""	"0.908290608968973"	""	""	"2075884.27307842"	"220611894.53387"	"1127866708.39835"	"20188485.1995981"	"97.48"	"43.58"	"94.53"	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"4653560729838389514"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN2949_c0_g1_i5.p1"	"ONUN2_DN2949_c0_g1_i5.p1"	"0.000"	"383.143"	"43"	"86"	"518"	"84"	"2356"	"273.0"	"5.20"	"6223"	"86"	""	""	""	""	""	"ONUN2_DN2949_c0_g1_i5.p1"	""	""	""	""	"0"	"26.641"	"5.430"	"9.942"	"0.204"	"0.373"	"1.831"	"0.0670746535934052"	"0.534450035495061"	"0.999999999999392"	"0.196862287763903"	"0.834472322332584"	"0.999999999645348"	"3201009.23031398"	"85277692.6357331"	"17381411.7454374"	"31825234.4252502"	"83.50"	"21.54"	"69.34"	"31.42"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-59141390210771538"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN34823_c0_g1_i1.p1"	"ONUN2_DN34823_c0_g1_i1.p1"	"0.000"	"366.605"	"70"	"68"	"269"	"36"	"860"	"99.5"	"5.31"	"4228"	"68"	""	""	""	""	""	"ONUN2_DN34823_c0_g1_i1.p1"	""	""	""	""	"0"	"0.157"	"54.393"	"0.010"	"100.000"	"0.010"	"0.010"	"0.706487304819503"	"0.418221168793109"	""	"0.130162410008003"	""	""	"10975997.6613186"	"1726651.5461228"	"597015510.062767"	""	"89.78"	"30.88"	"134.96"	""	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"1"	""
"8829073593103605150"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN1467_c0_g1_i1.p1"	"ONUN2_DN1467_c0_g1_i1.p1"	"0.000"	"363.034"	"31"	"78"	"412"	"78"	"3129"	"346.3"	"5.68"	"4933"	"78"	""	""	""	""	""	"ONUN2_DN1467_c0_g1_i1.p1"	""	""	""	""	"0"	"6.866"	"100.000"	"0.373"	"53.228"	"0.054"	"0.010"	"0.166856325753724"	"0.00125600404191988"	"0.999999999999392"	"0.00772611721977231"	"0.102484604251899"	"0.000998728568507915"	"12557718.1540655"	"86217729.6666667"	"4589203900.11985"	"4686734.95847314"	"89.47"	"24.67"	"39.56"	"7.83"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"1"	""
"-2289507961069603209"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN2646_c0_g1_i6.p1"	"ONUN2_DN2646_c0_g1_i6.p1"	"0.000"	"353.535"	"22"	"90"	"283"	"90"	"4058"	"475.1"	"9.66"	"3255"	"90"	""	""	""	""	""	"ONUN2_DN2646_c0_g1_i6.p1"	""	""	""	""	"0"	"0.079"	"0.187"	"0.434"	"2.385"	"5.520"	"2.315"	"0.0538642133991545"	"0.0652195248371037"	"0.999999999999392"	"0.717150545627503"	"0.154486627051534"	"0.223469293947795"	"5612517116.7017"	"441076085.531229"	"1051802909.37449"	"2434703652.92311"	"45.76"	"20.01"	"52.88"	"74.69"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"1"	""
"1365418621580942433"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN372_c2_g1_i3.p1"	"ONUN2_DN372_c2_g1_i3.p1"	"0.000"	"347.874"	"48"	"74"	"446"	"74"	"1737"	"202.8"	"9.20"	"4973"	"74"	""	""	""	""	""	"ONUN2_DN372_c2_g1_i3.p1"	""	""	""	""	"0"	"0.420"	"1.588"	"0.710"	"3.785"	"1.693"	"0.447"	"0.709633065471919"	"0.999999999117813"	"0.999999999999392"	"0.461597213048102"	"0.999999999988872"	"0.999999999645348"	"198039379.393607"	"83087732.4629841"	"314465864.335625"	"140671342.919789"	"48.80"	"8.49"	"61.22"	"81.36"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"2086099529830662090"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN9581_c0_g1_i7.p1"	"ONUN2_DN9581_c0_g1_i7.p1"	"0.000"	"342.999"	"53"	"49"	"844"	"38"	"1022"	"113.5"	"5.63"	"12020"	"49"	""	""	""	""	""	"ONUN2_DN9581_c0_g1_i7.p1"	""	""	""	""	"0"	"8.776"	"1.664"	"1.722"	"0.190"	"0.196"	"1.034"	"0.321587074930282"	"0.999999999117813"	"0.999999999999392"	"0.158913674860115"	"0.573168649433607"	"0.999999999645348"	"56491145.8565538"	"495771254.650969"	"94018379.2184657"	"97261570.9050993"	"85.31"	"8.03"	"79.05"	"17.80"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"-6439571180119243183"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN8116_c0_g1_i1.p1"	"ONUN2_DN8116_c0_g1_i1.p1"	"0.000"	"337.969"	"40"	"70"	"713"	"69"	"2256"	"245.1"	"5.38"	"9499"	"70"	""	""	""	""	""	"ONUN2_DN8116_c0_g1_i1.p1"	""	""	""	""	"0"	"0.604"	"0.123"	"5.233"	"0.204"	"8.669"	"42.555"	"0.999999999853134"	"0.288934325657981"	"0.999999999999392"	"0.531455637815259"	"0.249233370243737"	"0.0227750808127666"	"113459012.704572"	"68483107.501044"	"13951356.359744"	"593705734.917727"	"69.33"	"9.77"	"109.84"	"24.55"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"1605759020990356140"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN4015_c0_g1_i6.p1"	"ONUN2_DN4015_c0_g1_i6.p1"	"0.000"	"336.343"	"72"	"26"	"996"	"14"	"524"	"56.8"	"6.24"	"14842"	"26"	""	""	""	""	""	"ONUN2_DN4015_c0_g1_i6.p1"	""	""	""	""	"0"	"2.488"	"0.230"	"1.167"	"0.092"	"0.469"	"5.079"	"0.510073349942892"	"0.249395244498025"	"0.999999999999392"	"0.0384400944810928"	"0.999999999988872"	"0.0987283986341346"	"408530898.110486"	"1016312097.26283"	"93890742.388542"	"476857420.39158"	"46.76"	"16.32"	"68.30"	"41.28"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-4012534211875786641"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN2252_c0_g1_i9.p1"	"ONUN2_DN2252_c0_g1_i9.p1"	"0.000"	"317.227"	"51"	"43"	"745"	"37"	"1020"	"113.3"	"5.88"	"9934"	"43"	""	""	""	""	""	"ONUN2_DN2252_c0_g1_i9.p1"	""	""	""	""	"0"	"6.195"	"0.339"	"0.879"	"0.055"	"0.142"	"2.592"	"0.529517601414695"	""	"0.999999999999392"	""	"0.505391049723749"	""	"90702220.2460711"	"561869086.354293"	"30765589.3783442"	"79759472.0769459"	"123.90"	"11.73"	""	"53.99"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"1"	""
"-77025285891245445"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN13992_c0_g1_i6.p1"	"ONUN2_DN13992_c0_g1_i6.p1"	"0.000"	"311.993"	"42"	"71"	"436"	"69"	"1972"	"228.2"	"5.66"	"4559"	"71"	""	""	""	""	""	"ONUN2_DN13992_c0_g1_i6.p1"	""	""	""	""	"0"	"0.789"	"1.504"	"0.309"	"1.907"	"0.392"	"0.206"	"0.999999999853134"	"0.558825905650186"	"0.999999999999392"	"0.56430598663286"	"0.445795966604"	"0.0502938269247877"	"63311940.7251267"	"49927997.9076221"	"95213744.3181249"	"19568960.8764665"	"33.93"	"57.12"	"79.07"	"18.66"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-3650331574544720813"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN157_c0_g4_i1.p1"	"ONUN2_DN157_c0_g4_i1.p1"	"0.000"	"308.611"	"40"	"62"	"381"	"62"	"2053"	"229.4"	"6.49"	"4763"	"62"	""	""	""	""	""	"ONUN2_DN157_c0_g4_i1.p1"	""	""	""	""	"0"	"2.180"	"1.310"	"0.464"	"0.601"	"0.213"	"0.355"	"0.999999999853134"	"0.999999999117813"	"0.999999999999392"	"0.83162484816725"	"0.999999999988872"	"0.999999999645348"	"41597817.0548018"	"90675796.0608071"	"54490072.7519622"	"19320318.2322877"	"77.56"	"17.05"	"95.00"	"65.58"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"2727986993559155798"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN3937_c0_g2_i1.p1"	"ONUN2_DN3937_c0_g2_i1.p1"	"0.000"	"308.354"	"51"	"52"	"573"	"52"	"1384"	"155.9"	"4.97"	"6293"	"52"	""	""	""	""	""	"ONUN2_DN3937_c0_g2_i1.p1"	""	""	""	""	"0"	"0.927"	"0.198"	"0.428"	"0.213"	"0.461"	"2.161"	"0.999999999853134"	"0.262323662205223"	"0.999999999999392"	"0.163732220132159"	"0.999999999988872"	"0.616615613513652"	"207279028.308513"	"192180281.480792"	"41017015.8450866"	"88623008.3442522"	"32.83"	"8.87"	"87.44"	"22.53"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-4858607143562870879"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN2013_c0_g1_i7.p1"	"ONUN2_DN2013_c0_g1_i7.p1"	"0.000"	"307.858"	"36"	"81"	"447"	"81"	"3158"	"364.1"	"4.40"	"4335"	"81"	""	""	""	""	""	"ONUN2_DN2013_c0_g1_i7.p1"	""	""	""	""	"0"	"2.098"	"4.465"	"5.786"	"2.129"	"2.758"	"1.296"	"0.999999999853134"	"0.743379305040735"	"0.999999999999392"	"0.99999999999899"	"0.999999999988872"	"0.999999999645348"	"30918936.7015025"	"64865150.7928353"	"138066160.235434"	"178898253.705858"	"106.99"	"72.81"	"40.07"	"78.85"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"288759861589218568"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN4220_c0_g1_i3.p1"	"ONUN2_DN4220_c0_g1_i3.p1"	"0.000"	"300.380"	"21"	"79"	"288"	"79"	"4141"	"462.7"	"7.90"	"3012"	"79"	""	""	""	""	""	"ONUN2_DN4220_c0_g1_i3.p1"	""	""	""	""	"0"	"0.769"	"1.527"	"1.648"	"1.987"	"2.144"	"1.079"	"0.999999999853134"	"0.59957516272822"	"0.999999999999392"	"0.362710500926774"	"0.300972267808628"	"0.999999999645348"	"54316325.3082706"	"41754314"	"82960304.3918924"	"89512812.3646365"	"13.58"	"37.94"	"19.19"	"27.20"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"1"	""
"589826796240058469"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN1795_c0_g1_i2.p1"	"ONUN2_DN1795_c0_g1_i2.p1"	"0.000"	"295.597"	"47"	"58"	"528"	"55"	"1834"	"195.3"	"8.31"	"7000"	"58"	""	""	""	""	""	"ONUN2_DN1795_c0_g1_i2.p1"	""	""	""	""	"0"	"0.522"	"2.119"	"1.048"	"4.057"	"2.006"	"0.494"	"0.425501134290458"	"0.087516391426405"	"0.999999999999392"	"0.0188795400680578"	"0.691486808557428"	"0.0664991926488839"	"130523829.433123"	"68169425.3333333"	"276530882.600044"	"136733585.973224"	"16.84"	"20.76"	"46.33"	"21.78"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
